id,organismo,linea_servicio,dia,fecha,afluencia_tarjeta,afluencia_boleto,afluencia_total_preliminar
178,Ecobici,N/A,Martes,2020-08-25,,,"9,844"
179,Ecobici,N/A,Miércoles,2020-08-26,,,"10,019"
180,Ecobici,N/A,Jueves,2020-08-27,,,"9,341"
181,Ecobici,N/A,Viernes,2020-08-28,,,"9,357"
182,Ecobici,N/A,Sábado,2020-08-29,,,"7,163"
183,Ecobici,N/A,Domingo,2020-08-30,,,"6,426"
184,Ecobici,N/A,Lunes,2020-08-31,,,"8,722"
185,Ecobici,N/A,Martes,2020-09-01,,,"10,443"
186,Ecobici,N/A,Miércoles,2020-09-02,,,"10,737"
187,Ecobici,N/A,Jueves,2020-09-03,,,"10,458"
188,Ecobici,N/A,Viernes,2020-09-04,,,"10,334"
189,Ecobici,N/A,Sábado,2020-09-05,,,"6,834"
190,Ecobici,N/A,Domingo,2020-09-06,,,"5,948"
191,Ecobici,N/A,Lunes,2020-09-07,,,"9,426"
192,Ecobici,N/A,Martes,2020-09-08,,,"10,087"
193,Ecobici,N/A,Miércoles,2020-09-09,,,"10,973"
194,Ecobici,N/A,Jueves,2020-09-10,,,"9,363"
195,Ecobici,N/A,Viernes,2020-09-11,,,"11,091"
196,Ecobici,N/A,Sábado,2020-09-12,,,"6,859"
197,Ecobici,N/A,Domingo,2020-09-13,,,"6,345"
198,Ecobici,N/A,Lunes,2020-09-14,,,"10,384"
199,Ecobici,N/A,Martes,2020-09-15,,,"9,279"
200,Ecobici,N/A,Miércoles,2020-09-16,,,"5,114"
201,Ecobici,N/A,Jueves,2020-09-17,,,"10,779"
202,Ecobici,N/A,Viernes,2020-09-18,,,"7,399"
203,Ecobici,N/A,Sábado,2020-09-19,,,"7,282"
204,Ecobici,N/A,Domingo,2020-09-20,,,"5,612"
205,Ecobici,N/A,Lunes,2020-09-21,,,"9,853"
206,Ecobici,N/A,Martes,2020-09-22,,,"11,576"
207,Ecobici,N/A,Miércoles,2020-09-23,,,"11,631"
208,Ecobici,N/A,Jueves,2020-09-24,,,"11,278"
209,Ecobici,N/A,Viernes,2020-09-25,,,"11,262"
210,Ecobici,N/A,Sábado,2020-09-26,,,"8,480"
211,Ecobici,N/A,Domingo,2020-09-27,,,"6,600"
212,Ecobici,N/A,Lunes,2020-09-28,,,"11,407"
213,Ecobici,N/A,Martes,2020-09-29,,,"10,130"
214,Ecobici,N/A,Miércoles,2020-09-30,,,"12,033"
215,Ecobici,N/A,Jueves,2020-10-01,,,"11,710"
216,Ecobici,N/A,Viernes,2020-10-02,,,"11,626"
217,Ecobici,N/A,Sábado,2020-10-03,,,"8,680"
218,Ecobici,N/A,Domingo,2020-10-04,,,"6,852"
219,Ecobici,N/A,Lunes,2020-10-05,,,"11,184"
220,Ecobici,N/A,Martes,2020-10-06,,,"11,643"
221,Ecobici,N/A,Miércoles,2020-10-07,,,"11,595"
222,Ecobici,N/A,Jueves,2020-10-08,,,"11,981"
223,Ecobici,N/A,Viernes,2020-10-09,,,"10,801"
224,Ecobici,N/A,Sábado,2020-10-10,,,"8,841"
225,Ecobici,N/A,Domingo,2020-10-11,,,"7,153"
226,Ecobici,N/A,Lunes,2020-10-12,,,"10,710"
227,Ecobici,N/A,Martes,2020-10-13,,,"10,724"
228,Ecobici,N/A,Miércoles,2020-10-14,,,"11,477"
229,Ecobici,N/A,Jueves,2020-10-15,,,"12,342"
230,Ecobici,N/A,Viernes,2020-10-16,,,"11,918"
231,Ecobici,N/A,Sábado,2020-10-17,,,"8,810"
232,Ecobici,N/A,Domingo,2020-10-18,,,"5,760"
233,Ecobici,N/A,Lunes,2020-10-19,,,"11,156"
234,Ecobici,N/A,Martes,2020-10-20,,,"12,022"
235,Ecobici,N/A,Miércoles,2020-10-21,,,"11,813"
236,Ecobici,N/A,Jueves,2020-10-22,,,"12,014"
237,Ecobici,N/A,Viernes,2020-10-23,,,"12,102"
238,Ecobici,N/A,Sábado,2020-10-24,,,"8,390"
239,Ecobici,N/A,Domingo,2020-10-25,,,"6,982"
240,Ecobici,N/A,Lunes,2020-10-26,,,"11,153"
241,Ecobici,N/A,Martes,2020-10-27,,,"12,069"
242,Ecobici,N/A,Miércoles,2020-10-28,,,"12,023"
243,Ecobici,N/A,Jueves,2020-10-29,,,"12,001"
244,Ecobici,N/A,Viernes,2020-10-30,,,"12,146"
245,Ecobici,N/A,Sábado,2020-10-31,,,"7,868"
246,Ecobici,N/A,Domingo,2020-11-01,,,"6,095"
247,Ecobici,N/A,Lunes,2020-11-02,,,"7,819"
248,Ecobici,N/A,Martes,2020-11-03,,,"11,048"
249,Ecobici,N/A,Miércoles,2020-11-04,,,"11,189"
250,Ecobici,N/A,Jueves,2020-11-05,,,"11,263"
251,Ecobici,N/A,Viernes,2020-11-06,,,"11,515"
252,Ecobici,N/A,Sábado,2020-11-07,,,"8,193"
253,Ecobici,N/A,Domingo,2020-11-08,,,"6,575"
254,Ecobici,N/A,Lunes,2020-11-09,,,"11,157"
255,Ecobici,N/A,Martes,2020-11-10,,,"12,084"
256,Ecobici,N/A,Miércoles,2020-11-11,,,"12,122"
257,Ecobici,N/A,Jueves,2020-11-12,,,"12,045"
258,Ecobici,N/A,Viernes,2020-11-13,,,"12,024"
259,Ecobici,N/A,Sábado,2020-11-14,,,"8,030"
260,Ecobici,N/A,Domingo,2020-11-15,,,"6,040"
261,Ecobici,N/A,Lunes,2020-11-16,,,"6,602"
262,Ecobici,N/A,Martes,2020-11-17,,,"10,951"
263,Ecobici,N/A,Miércoles,2020-11-18,,,"10,637"
264,Ecobici,N/A,Jueves,2020-11-19,,,"11,352"
265,Ecobici,N/A,Viernes,2020-11-20,,,"10,447"
266,Ecobici,N/A,Sábado,2020-11-21,,,"7,828"
267,Ecobici,N/A,Domingo,2020-11-22,,,"6,513"
268,Ecobici,N/A,Lunes,2020-11-23,,,"9,967"
269,Ecobici,N/A,Martes,2020-11-24,,,"11,377"
270,Ecobici,N/A,Miércoles,2020-11-25,,,"11,287"
271,Ecobici,N/A,Jueves,2020-11-26,,,"11,396"
272,Ecobici,N/A,Viernes,2020-11-27,,,"11,707"
273,Ecobici,N/A,Sábado,2020-11-28,,,"8,140"
274,Ecobici,N/A,Domingo,2020-11-29,,,"6,414"
275,Ecobici,N/A,Lunes,2020-11-30,,,"10,238"
276,Ecobici,N/A,Martes,2020-12-01,,,"11,479"
277,Ecobici,N/A,Miércoles,2020-12-02,,,"11,532"
278,Ecobici,N/A,Jueves,2020-12-03,,,"11,359"
279,Ecobici,N/A,Viernes,2020-12-04,,,"10,836"
280,Ecobici,N/A,Sábado,2020-12-05,,,"7,869"
281,Ecobici,N/A,Domingo,2020-12-06,,,"6,352"
282,Ecobici,N/A,Lunes,2020-12-07,,,"9,875"
283,Ecobici,N/A,Martes,2020-12-08,,,"10,852"
